,,position,points,wins,Constructor
2014,15,4,178,0,Ferrari
2014,15,5,122,0,Force India
2014,15,6,121,0,McLaren
2014,15,7,29,0,Toro Rosso
2014,15,8,8,0,Lotus F1
2014,15,9,2,0,Marussia
2014,15,10,0,0,Sauber
2014,15,11,0,0,Caterham
2014,16,1,565,13,Mercedes
2014,16,2,342,3,Red Bull
2014,16,3,216,0,Williams
2014,16,4,188,0,Ferrari
2014,16,5,143,0,McLaren
2014,16,6,123,0,Force India
2014,16,7,29,0,Toro Rosso
2014,16,8,8,0,Lotus F1
2014,16,9,2,0,Marussia
2014,16,10,0,0,Sauber
2014,16,11,0,0,Caterham
2014,17,1,608,14,Mercedes
2014,17,2,363,3,Red Bull
2014,17,3,238,0,Williams
2014,17,4,196,0,Ferrari
2014,17,5,147,0,McLaren
2014,17,6,123,0,Force India
2014,17,7,30,0,Toro Rosso
2014,17,8,10,0,Lotus F1
2014,17,9,2,0,Marussia
2014,17,10,0,0,Sauber
2014,17,11,0,0,Caterham
2014,18,1,651,15,Mercedes
2014,18,2,373,3,Red Bull
2014,18,3,254,0,Williams
2014,18,4,210,0,Ferrari
2014,18,5,161,0,McLaren
2014,18,6,127,0,Force India
2014,18,7,30,0,Toro Rosso
2014,18,8,10,0,Lotus F1
2014,18,9,2,0,Marussia
2014,18,10,0,0,Sauber
2014,18,11,0,0,Caterham
2014,19,1,701,16,Mercedes
2014,19,2,405,3,Red Bull
2014,19,3,320,0,Williams
2014,19,4,216,0,Ferrari
2014,19,5,181,0,McLaren
2014,19,6,155,0,Force India
2014,19,7,30,0,Toro Rosso
2014,19,8,10,0,Lotus F1
2014,19,9,2,0,Marussia
2014,19,10,0,0,Sauber
2014,19,11,0,0,Caterham
2015,1,1,43,1,Mercedes
2015,1,2,15,0,Ferrari
2015,1,3,14,0,Sauber
2015,1,4,12,0,Williams
2015,1,5,8,0,Red Bull
2015,1,6,7,0,Force India
2015,1,7,2,0,Toro Rosso
2015,1,8,0,0,McLaren
2015,1,9,0,0,Lotus F1
2015,2,1,76,1,Mercedes
2015,2,2,52,1,Ferrari
2015,2,3,30,0,Williams
2015,2,4,14,0,Sauber
2015,2,5,12,0,Toro Rosso
2015,2,6,11,0,Red Bull
2015,2,7,7,0,Force India
2015,2,8,0,0,Lotus F1
2015,2,9,0,0,McLaren
2015,2,10,0,0,Manor Marussia
2015,3,1,119,2,Mercedes
2015,3,2,79,1,Ferrari
2015,3,3,48,0,Williams
2015,3,4,19,0,Sauber
2015,3,5,13,0,Red Bull
2015,3,6,12,0,Toro Rosso
2015,3,7,7,0,Force India
2015,3,8,6,0,Lotus F1
2015,3,9,0,0,McLaren
2015,3,10,0,0,Manor Marussia
2015,4,1,159,3,Mercedes
2015,4,2,107,1,Ferrari
2015,4,3,61,0,Williams
2015,4,4,23,0,Red Bull
2015,4,5,19,0,Sauber
2015,4,6,12,0,Lotus F1
2015,4,7,12,0,Toro Rosso
2015,4,8,11,0,Force India
2015,4,9,0,0,McLaren
2015,4,10,0,0,Manor Marussia
2015,5,1,202,4,Mercedes
2015,5,2,132,1,Ferrari
2015,5,3,81,0,Williams
2015,5,4,30,0,Red Bull
2015,5,5,19,0,Sauber
2015,5,6,16,0,Lotus F1
2015,5,7,14,0,Toro Rosso
2015,5,8,11,0,Force India
2015,5,9,0,0,McLaren
2015,5,10,0,0,Manor Marussia
2015,6,1,242,5,Mercedes
2015,6,2,158,1,Ferrari
2015,6,3,81,0,Williams
2015,6,4,52,0,Red Bull
2015,6,5,21,0,Sauber
2015,6,6,17,0,Force India
2015,6,7,16,0,Lotus F1
2015,6,8,15,0,Toro Rosso
2015,6,9,4,0,McLaren
2015,6,10,0,0,Manor Marussia
2015,7,1,285,6,Mercedes
2015,7,2,180,1,Ferrari
2015,7,3,104,0,Williams
2015,7,4,54,0,Red Bull
2015,7,5,23,0,Lotus F1
2015,7,6,21,0,Sauber
2015,7,7,21,0,Force India
2015,7,8,15,0,Toro Rosso
2015,7,9,4,0,McLaren
2015,7,10,0,0,Manor Marussia
2015,8,1,328,7,Mercedes
2015,8,2,192,1,Ferrari
2015,8,3,129,0,Williams
2015,8,4,55,0,Red Bull
2015,8,5,31,0,Force India
2015,8,6,29,0,Lotus F1
2015,8,7,21,0,Sauber
2015,8,8,19,0,Toro Rosso
2015,8,9,4,0,McLaren
2015,8,10,0,0,Manor Marussia
2015,9,1,371,8,Mercedes
2015,9,2,211,1,Ferrari
2015,9,3,151,0,Williams
2015,9,4,63,0,Red Bull
2015,9,5,39,0,Force India
2015,9,6,29,0,Lotus F1
2015,9,7,21,0,Sauber
2015,9,8,19,0,Toro Rosso
2015,9,9,5,0,McLaren
2015,9,10,0,0,Manor Marussia
2015,10,1,383,8,Mercedes
2015,10,2,236,2,Ferrari
2015,10,3,151,0,Williams
2015,10,4,96,0,Red Bull
2015,10,5,39,0,Force India
2015,10,6,35,0,Lotus F1
2015,10,7,31,0,Toro Rosso
2015,10,8,22,0,Sauber
2015,10,9,17,0,McLaren
2015,10,10,0,0,Manor Marussia
2015,11,1,426,9,Mercedes
2015,11,2,242,2,Ferrari
2015,11,3,161,0,Williams
2015,11,4,108,0,Red Bull
2015,11,5,50,0,Lotus F1
2015,11,6,49,0,Force India
2015,11,7,35,0,Toro Rosso
2015,11,8,23,0,Sauber
2015,11,9,17,0,McLaren
2015,11,10,0,0,Manor Marussia
2015,12,1,451,10,Mercedes
2015,12,2,270,2,Ferrari
2015,12,3,188,0,Williams
2015,12,4,113,0,Red Bull
2015,12,5,63,0,Force India
2015,12,6,50,0,Lotus F1
2015,12,7,35,0,Toro Rosso
2015,12,8,25,0,Sauber
2015,12,9,17,0,McLaren
2015,12,10,0,0,Manor Marussia
2015,13,1,463,10,Mercedes
2015,13,2,310,3,Ferrari
2015,13,3,198,0,Williams
2015,13,4,139,0,Red Bull
2015,13,5,69,0,Force India
2015,13,6,50,0,Lotus F1
2015,13,7,41,0,Toro Rosso
2015,13,8,26,0,Sauber
2015,13,9,17,0,McLaren
2015,13,10,0,0,Manor Marussia
2015,14,1,506,11,Mercedes
2015,14,2,337,3,Ferrari
2015,14,3,208,0,Williams
2015,14,4,139,0,Red Bull
2015,14,5,77,0,Force India
2015,14,6,60,0,Lotus F1
2015,14,7,44,0,Toro Rosso
2015,14,8,26,0,Sauber
2015,14,9,17,0,McLaren
2015,14,10,0,0,Manor Marussia
2015,15,1,531,12,Mercedes
2015,15,2,359,3,Ferrari
2015,15,3,220,0,Williams
2015,15,4,149,0,Red Bull
2015,15,5,92,0,Force India
2015,15,6,66,0,Lotus F1
2015,15,7,45,0,Toro Rosso
2015,15,8,34,0,Sauber
2015,15,9,19,0,McLaren
2015,15,10,0,0,Manor Marussia
2015,16,1,574,13,Mercedes
2015,16,2,374,3,Ferrari
2015,16,3,220,0,Williams
2015,16,4,150,0,Red Bull
2015,16,5,102,0,Force India
2015,16,6,70,0,Lotus F1
2015,16,7,63,0,Toro Rosso
2015,16,8,36,0,Sauber
2015,16,9,27,0,McLaren
2015,16,10,0,0,Manor Marussia
2015,17,1,617,14,Mercedes
2015,17,2,374,3,Ferrari
2015,17,3,243,0,Williams
2015,17,4,172,0,Red Bull
2015,17,5,112,0,Force India
2015,17,6,71,0,Lotus F1
2015,17,7,65,0,Toro Rosso
2015,17,8,36,0,Sauber
2015,17,9,27,0,McLaren
2015,17,10,0,0,Manor Marussia
2015,18,1,660,15,Mercedes
2015,18,2,401,3,Ferrari
2015,18,3,253,0,Williams
2015,18,4,178,0,Red Bull
2015,18,5,120,0,Force India
2015,18,6,76,0,Lotus F1
2015,18,7,67,0,Toro Rosso
2015,18,8,36,0,Sauber
2015,18,9,27,0,McLaren
2015,18,10,0,0,Manor Marussia
2015,19,1,703,16,Mercedes
2015,19,2,428,3,Ferrari
2015,19,3,257,0,Williams
2015,19,4,187,0,Red Bull
2015,19,5,136,0,Force India
2015,19,6,78,0,Lotus F1
