fullname,permanentNumber,code,Constructors,points,wins
Carlos Sainz,55,SAI,Toro Rosso,25,0
Felipe Massa,19,MAS,Williams,20,0
Esteban Ocon,31,OCO,Force India,19,0
Nico Hülkenberg,27,HUL,Renault,14,0
Romain Grosjean,8,GRO,Haas F1 Team,9,0
Kevin Magnussen,20,MAG,Haas F1 Team,5,0
Pascal Wehrlein,94,WEH,Sauber,4,0
Daniil Kvyat,26,KVY,Toro Rosso,4,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Lance Stroll,18,STR,Williams,0,0
Fernando Alonso,14,ALO,McLaren,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Stoffel Vandoorne,2,VAN,McLaren,0,0
Jenson Button,22,BUT,McLaren,0,0
Sebastian Vettel,5,VET,Ferrari,141,3
Lewis Hamilton,44,HAM,Mercedes,129,3
Valtteri Bottas,77,BOT,Mercedes,93,1
Kimi Räikkönen,7,RAI,Ferrari,73,0
Daniel Ricciardo,3,RIC,Red Bull,67,0
Max Verstappen,33,VER,Red Bull,45,0
Sergio Pérez,11,PER,Force India,44,0
Esteban Ocon,31,OCO,Force India,27,0
Carlos Sainz,55,SAI,Toro Rosso,25,0
Felipe Massa,19,MAS,Williams,20,0
Nico Hülkenberg,27,HUL,Renault,18,0
Romain Grosjean,8,GRO,Haas F1 Team,10,0
Kevin Magnussen,20,MAG,Haas F1 Team,5,0
Pascal Wehrlein,94,WEH,Sauber,4,0
Daniil Kvyat,26,KVY,Toro Rosso,4,0
Lance Stroll,18,STR,Williams,2,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Fernando Alonso,14,ALO,McLaren,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Stoffel Vandoorne,2,VAN,McLaren,0,0
Jenson Button,22,BUT,McLaren,0,0
Sebastian Vettel,5,VET,Ferrari,153,3
Lewis Hamilton,44,HAM,Mercedes,139,3
Valtteri Bottas,77,BOT,Mercedes,111,1
Daniel Ricciardo,3,RIC,Red Bull,92,1
Kimi Räikkönen,7,RAI,Ferrari,73,0
Max Verstappen,33,VER,Red Bull,45,0
Sergio Pérez,11,PER,Force India,44,0
Esteban Ocon,31,OCO,Force India,35,0
Carlos Sainz,55,SAI,Toro Rosso,29,0
Felipe Massa,19,MAS,Williams,20,0
Nico Hülkenberg,27,HUL,Renault,18,0
Lance Stroll,18,STR,Williams,17,0
Kevin Magnussen,20,MAG,Haas F1 Team,11,0
Romain Grosjean,8,GRO,Haas F1 Team,10,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,4,0
Fernando Alonso,14,ALO,McLaren,2,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Stoffel Vandoorne,2,VAN,McLaren,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Jenson Button,22,BUT,McLaren,0,0
Sebastian Vettel,5,VET,Ferrari,171,3
Lewis Hamilton,44,HAM,Mercedes,151,3
Valtteri Bottas,77,BOT,Mercedes,136,2
Daniel Ricciardo,3,RIC,Red Bull,107,1
Kimi Räikkönen,7,RAI,Ferrari,83,0
Sergio Pérez,11,PER,Force India,50,0
Max Verstappen,33,VER,Red Bull,45,0
Esteban Ocon,31,OCO,Force India,39,0
Carlos Sainz,55,SAI,Toro Rosso,29,0
Felipe Massa,19,MAS,Williams,22,0
Lance Stroll,18,STR,Williams,18,0
Nico Hülkenberg,27,HUL,Renault,18,0
Romain Grosjean,8,GRO,Haas F1 Team,18,0
Kevin Magnussen,20,MAG,Haas F1 Team,11,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,4,0
Fernando Alonso,14,ALO,McLaren,2,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Stoffel Vandoorne,2,VAN,McLaren,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Jenson Button,22,BUT,McLaren,0,0
Sebastian Vettel,5,VET,Ferrari,177,3
Lewis Hamilton,44,HAM,Mercedes,176,4
Valtteri Bottas,77,BOT,Mercedes,154,2
Daniel Ricciardo,3,RIC,Red Bull,117,1
Kimi Räikkönen,7,RAI,Ferrari,98,0
Max Verstappen,33,VER,Red Bull,57,0
Sergio Pérez,11,PER,Force India,52,0
Esteban Ocon,31,OCO,Force India,43,0
Carlos Sainz,55,SAI,Toro Rosso,29,0
Nico Hülkenberg,27,HUL,Renault,26,0
Felipe Massa,19,MAS,Williams,23,0
Lance Stroll,18,STR,Williams,18,0
Romain Grosjean,8,GRO,Haas F1 Team,18,0
Kevin Magnussen,20,MAG,Haas F1 Team,11,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,4,0
Fernando Alonso,14,ALO,McLaren,2,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Stoffel Vandoorne,2,VAN,McLaren,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Jenson Button,22,BUT,McLaren,0,0
Sebastian Vettel,5,VET,Ferrari,202,4
Lewis Hamilton,44,HAM,Mercedes,188,4
Valtteri Bottas,77,BOT,Mercedes,169,2
Daniel Ricciardo,3,RIC,Red Bull,117,1
Kimi Räikkönen,7,RAI,Ferrari,116,0
Max Verstappen,33,VER,Red Bull,67,0
Sergio Pérez,11,PER,Force India,56,0
Esteban Ocon,31,OCO,Force India,45,0
Carlos Sainz,55,SAI,Toro Rosso,35,0
Nico Hülkenberg,27,HUL,Renault,26,0
Felipe Massa,19,MAS,Williams,23,0
Lance Stroll,18,STR,Williams,18,0
Romain Grosjean,8,GRO,Haas F1 Team,18,0
Kevin Magnussen,20,MAG,Haas F1 Team,11,0
Fernando Alonso,14,ALO,McLaren,10,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,4,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Jenson Button,22,BUT,McLaren,0,0
Paul di Resta,40,DIR,Williams,0,0
Sebastian Vettel,5,VET,Ferrari,220,4
Lewis Hamilton,44,HAM,Mercedes,213,5
Valtteri Bottas,77,BOT,Mercedes,179,2
Daniel Ricciardo,3,RIC,Red Bull,132,1
Kimi Räikkönen,7,RAI,Ferrari,128,0
Max Verstappen,33,VER,Red Bull,67,0
Sergio Pérez,11,PER,Force India,56,0
Esteban Ocon,31,OCO,Force India,47,0
Carlos Sainz,55,SAI,Toro Rosso,36,0
Nico Hülkenberg,27,HUL,Renault,34,0
Felipe Massa,19,MAS,Williams,27,0
Romain Grosjean,8,GRO,Haas F1 Team,24,0
Lance Stroll,18,STR,Williams,18,0
Kevin Magnussen,20,MAG,Haas F1 Team,11,0
Fernando Alonso,14,ALO,McLaren,10,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,4,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Jenson Button,22,BUT,McLaren,0,0
Paul di Resta,40,DIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,238,6
Sebastian Vettel,5,VET,Ferrari,235,4
Valtteri Bottas,77,BOT,Mercedes,197,2
Daniel Ricciardo,3,RIC,Red Bull,144,1
Kimi Räikkönen,7,RAI,Ferrari,138,0
Max Verstappen,33,VER,Red Bull,68,0
Sergio Pérez,11,PER,Force India,58,0
Esteban Ocon,31,OCO,Force India,55,0
Carlos Sainz,55,SAI,Toro Rosso,36,0
Nico Hülkenberg,27,HUL,Renault,34,0
Felipe Massa,19,MAS,Williams,31,0
Lance Stroll,18,STR,Williams,24,0
Romain Grosjean,8,GRO,Haas F1 Team,24,0
Kevin Magnussen,20,MAG,Haas F1 Team,11,0
Fernando Alonso,14,ALO,McLaren,10,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,4,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Jenson Button,22,BUT,McLaren,0,0
Paul di Resta,40,DIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,263,7
Sebastian Vettel,5,VET,Ferrari,235,4
Valtteri Bottas,77,BOT,Mercedes,212,2
Daniel Ricciardo,3,RIC,Red Bull,162,1
Kimi Räikkönen,7,RAI,Ferrari,138,0
Max Verstappen,33,VER,Red Bull,68,0
Sergio Pérez,11,PER,Force India,68,0
Esteban Ocon,31,OCO,Force India,56,0
Carlos Sainz,55,SAI,Toro Rosso,48,0
Nico Hülkenberg,27,HUL,Renault,34,0
Felipe Massa,19,MAS,Williams,31,0
Lance Stroll,18,STR,Williams,28,0
Romain Grosjean,8,GRO,Haas F1 Team,26,0
Kevin Magnussen,20,MAG,Haas F1 Team,11,0
Fernando Alonso,14,ALO,McLaren,10,0
Jolyon Palmer,30,PAL,Renault,8,0
Stoffel Vandoorne,2,VAN,McLaren,7,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,4,0
Marcus Ericsson,9,ERI,Sauber,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Jenson Button,22,BUT,McLaren,0,0
Paul di Resta,40,DIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,281,7
Sebastian Vettel,5,VET,Ferrari,247,4
Valtteri Bottas,77,BOT,Mercedes,222,2
Daniel Ricciardo,3,RIC,Red Bull,177,1
Kimi Räikkönen,7,RAI,Ferrari,138,0
Max Verstappen,33,VER,Red Bull,93,1
Sergio Pérez,11,PER,Force India,76,0
Esteban Ocon,31,OCO,Force India,57,0
Carlos Sainz,55,SAI,Toro Rosso,48,0
Nico Hülkenberg,27,HUL,Renault,34,0
Felipe Massa,19,MAS,Williams,33,0
Lance Stroll,18,STR,Williams,32,0
Romain Grosjean,8,GRO,Haas F1 Team,26,0
Stoffel Vandoorne,2,VAN,McLaren,13,0
Kevin Magnussen,20,MAG,Haas F1 Team,11,0
Fernando Alonso,14,ALO,McLaren,10,0
Jolyon Palmer,30,PAL,Renault,8,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,4,0
Marcus Ericsson,9,ERI,Sauber,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Pierre Gasly,10,GAS,Toro Rosso,0,0
Jenson Button,22,BUT,McLaren,0,0
Paul di Resta,40,DIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,306,8
Sebastian Vettel,5,VET,Ferrari,247,4
Valtteri Bottas,77,BOT,Mercedes,234,2
Daniel Ricciardo,3,RIC,Red Bull,192,1
Kimi Räikkönen,7,RAI,Ferrari,148,0
Max Verstappen,33,VER,Red Bull,111,1
Sergio Pérez,11,PER,Force India,82,0
Esteban Ocon,31,OCO,Force India,65,0
Carlos Sainz,55,SAI,Toro Rosso,48,0
Nico Hülkenberg,27,HUL,Renault,34,0
Felipe Massa,19,MAS,Williams,34,0
Lance Stroll,18,STR,Williams,32,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Kevin Magnussen,20,MAG,Haas F1 Team,15,0
Stoffel Vandoorne,2,VAN,McLaren,13,0
Fernando Alonso,14,ALO,McLaren,10,0
Jolyon Palmer,30,PAL,Renault,8,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,4,0
Marcus Ericsson,9,ERI,Sauber,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Pierre Gasly,10,GAS,Toro Rosso,0,0
Jenson Button,22,BUT,McLaren,0,0
Paul di Resta,40,DIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,331,9
Sebastian Vettel,5,VET,Ferrari,265,4
Valtteri Bottas,77,BOT,Mercedes,244,2
Daniel Ricciardo,3,RIC,Red Bull,192,1
Kimi Räikkönen,7,RAI,Ferrari,163,0
Max Verstappen,33,VER,Red Bull,123,1
Sergio Pérez,11,PER,Force India,86,0
Esteban Ocon,31,OCO,Force India,73,0
Carlos Sainz,55,SAI,Toro Rosso,54,0
Felipe Massa,19,MAS,Williams,36,0
Nico Hülkenberg,27,HUL,Renault,34,0
Lance Stroll,18,STR,Williams,32,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Kevin Magnussen,20,MAG,Haas F1 Team,15,0
Stoffel Vandoorne,2,VAN,McLaren,13,0
Fernando Alonso,14,ALO,McLaren,10,0
Jolyon Palmer,30,PAL,Renault,8,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,5,0
Marcus Ericsson,9,ERI,Sauber,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Pierre Gasly,10,GAS,Toro Rosso,0,0
Brendon Hartley,28,HAR,Toro Rosso,0,0
Jenson Button,22,BUT,McLaren,0,0
Paul di Resta,40,DIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,333,9
Sebastian Vettel,5,VET,Ferrari,277,4
Valtteri Bottas,77,BOT,Mercedes,262,2
Daniel Ricciardo,3,RIC,Red Bull,192,1
Kimi Räikkönen,7,RAI,Ferrari,178,0
Max Verstappen,33,VER,Red Bull,148,2
Sergio Pérez,11,PER,Force India,92,0
Esteban Ocon,31,OCO,Force India,83,0
Carlos Sainz,55,SAI,Toro Rosso,54,0
Lance Stroll,18,STR,Williams,40,0
Felipe Massa,19,MAS,Williams,36,0
Nico Hülkenberg,27,HUL,Renault,34,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Kevin Magnussen,20,MAG,Haas F1 Team,19,0
Stoffel Vandoorne,2,VAN,McLaren,13,0
Fernando Alonso,14,ALO,McLaren,11,0
Jolyon Palmer,30,PAL,Renault,8,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,5,0
Marcus Ericsson,9,ERI,Sauber,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Pierre Gasly,10,GAS,Toro Rosso,0,0
Brendon Hartley,28,HAR,Toro Rosso,0,0
Jenson Button,22,BUT,McLaren,0,0
Paul di Resta,40,DIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,345,9
Sebastian Vettel,5,VET,Ferrari,302,5
Valtteri Bottas,77,BOT,Mercedes,280,2
Daniel Ricciardo,3,RIC,Red Bull,200,1
Kimi Räikkönen,7,RAI,Ferrari,193,0
Max Verstappen,33,VER,Red Bull,158,2
Sergio Pérez,11,PER,Force India,94,0
Esteban Ocon,31,OCO,Force India,83,0
Carlos Sainz,55,SAI,Toro Rosso,54,0
Felipe Massa,19,MAS,Williams,42,0
Lance Stroll,18,STR,Williams,40,0
Nico Hülkenberg,27,HUL,Renault,35,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Kevin Magnussen,20,MAG,Haas F1 Team,19,0
Fernando Alonso,14,ALO,McLaren,15,0
Stoffel Vandoorne,2,VAN,McLaren,13,0
Jolyon Palmer,30,PAL,Renault,8,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,5,0
Marcus Ericsson,9,ERI,Sauber,0,0
Pierre Gasly,10,GAS,Toro Rosso,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Brendon Hartley,28,HAR,Toro Rosso,0,0
Jenson Button,22,BUT,McLaren,0,0
Paul di Resta,40,DIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,363,9
Sebastian Vettel,5,VET,Ferrari,317,5
Valtteri Bottas,77,BOT,Mercedes,305,3
Kimi Räikkönen,7,RAI,Ferrari,205,0
Daniel Ricciardo,3,RIC,Red Bull,200,1
Max Verstappen,33,VER,Red Bull,168,2
Sergio Pérez,11,PER,Force India,100,0
Esteban Ocon,31,OCO,Force India,87,0
Carlos Sainz,55,SAI,Toro Rosso,54,0
Nico Hülkenberg,27,HUL,Renault,43,0
Felipe Massa,19,MAS,Williams,43,0
Lance Stroll,18,STR,Williams,40,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Kevin Magnussen,20,MAG,Haas F1 Team,19,0
Fernando Alonso,14,ALO,McLaren,17,0
Stoffel Vandoorne,2,VAN,McLaren,13,0
Jolyon Palmer,30,PAL,Renault,8,0
Pascal Wehrlein,94,WEH,Sauber,5,0
Daniil Kvyat,26,KVY,Toro Rosso,5,0
Marcus Ericsson,9,ERI,Sauber,0,0
Pierre Gasly,10,GAS,Toro Rosso,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Brendon Hartley,28,HAR,Toro Rosso,0,0
Jenson Button,22,BUT,McLaren,0,0
Paul di Resta,40,DIR,Williams,0,0
Sebastian Vettel,5,VET,Ferrari,25,1
Lewis Hamilton,44,HAM,Mercedes,18,0
Kimi Räikkönen,7,RAI,Ferrari,15,0
Daniel Ricciardo,3,RIC,Red Bull,12,0
Fernando Alonso,14,ALO,McLaren,10,0
Max Verstappen,33,VER,Red Bull,8,0
Nico Hülkenberg,27,HUL,Renault,6,0
Valtteri Bottas,77,BOT,Mercedes,4,0
Stoffel Vandoorne,2,VAN,McLaren,2,0
Carlos Sainz,55,SAI,Renault,1,0
Sergio Pérez,11,PER,Force India,0,0
Esteban Ocon,31,OCO,Force India,0,0
Charles Leclerc,16,LEC,Sauber,0,0
Lance Stroll,18,STR,Williams,0,0
Brendon Hartley,28,HAR,Toro Rosso,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Kevin Magnussen,20,MAG,Haas F1 Team,0,0
Pierre Gasly,10,GAS,Toro Rosso,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Sergey Sirotkin,35,SIR,Williams,0,0
Sebastian Vettel,5,VET,Ferrari,50,2
Lewis Hamilton,44,HAM,Mercedes,33,0
Valtteri Bottas,77,BOT,Mercedes,22,0
Fernando Alonso,14,ALO,McLaren,16,0
Kimi Räikkönen,7,RAI,Ferrari,15,0
Nico Hülkenberg,27,HUL,Renault,14,0
Pierre Gasly,10,GAS,Toro Rosso,12,0
Daniel Ricciardo,3,RIC,Red Bull,12,0
Kevin Magnussen,20,MAG,Haas F1 Team,10,0
Max Verstappen,33,VER,Red Bull,8,0
Stoffel Vandoorne,2,VAN,McLaren,6,0
Marcus Ericsson,9,ERI,Sauber,2,0
Carlos Sainz,55,SAI,Renault,1,0
Esteban Ocon,31,OCO,Force India,1,0
Sergio Pérez,11,PER,Force India,0,0
Charles Leclerc,16,LEC,Sauber,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Lance Stroll,18,STR,Williams,0,0
Brendon Hartley,28,HAR,Toro Rosso,0,0
Sergey Sirotkin,35,SIR,Williams,0,0
Sebastian Vettel,5,VET,Ferrari,54,2
Lewis Hamilton,44,HAM,Mercedes,45,0
Valtteri Bottas,77,BOT,Mercedes,40,0
Daniel Ricciardo,3,RIC,Red Bull,37,1
Kimi Räikkönen,7,RAI,Ferrari,30,0
Fernando Alonso,14,ALO,McLaren,22,0
Nico Hülkenberg,27,HUL,Renault,22,0
Max Verstappen,33,VER,Red Bull,18,0
Pierre Gasly,10,GAS,Toro Rosso,12,0
Kevin Magnussen,20,MAG,Haas F1 Team,11,0
Stoffel Vandoorne,2,VAN,McLaren,6,0
Carlos Sainz,55,SAI,Renault,3,0
Marcus Ericsson,9,ERI,Sauber,2,0
Esteban Ocon,31,OCO,Force India,1,0
Sergio Pérez,11,PER,Force India,0,0
Charles Leclerc,16,LEC,Sauber,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Lance Stroll,18,STR,Williams,0,0
Sergey Sirotkin,35,SIR,Williams,0,0
Brendon Hartley,28,HAR,Toro Rosso,0,0
Lewis Hamilton,44,HAM,Mercedes,70,1
Sebastian Vettel,5,VET,Ferrari,66,2
Kimi Räikkönen,7,RAI,Ferrari,48,0
Valtteri Bottas,77,BOT,Mercedes,40,0
Daniel Ricciardo,3,RIC,Red Bull,37,1
Fernando Alonso,14,ALO,McLaren,28,0
Nico Hülkenberg,27,HUL,Renault,22,0
Max Verstappen,33,VER,Red Bull,18,0
Sergio Pérez,11,PER,Force India,15,0
Carlos Sainz,55,SAI,Renault,13,0
Pierre Gasly,10,GAS,Toro Rosso,12,0
Kevin Magnussen,20,MAG,Haas F1 Team,11,0
Charles Leclerc,16,LEC,Sauber,8,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Lance Stroll,18,STR,Williams,4,0
Marcus Ericsson,9,ERI,Sauber,2,0
Esteban Ocon,31,OCO,Force India,1,0
Brendon Hartley,28,HAR,Toro Rosso,1,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Sergey Sirotkin,35,SIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,95,2
Sebastian Vettel,5,VET,Ferrari,78,2
Valtteri Bottas,77,BOT,Mercedes,58,0
Kimi Räikkönen,7,RAI,Ferrari,48,0
Daniel Ricciardo,3,RIC,Red Bull,47,1
Max Verstappen,33,VER,Red Bull,33,0
Fernando Alonso,14,ALO,McLaren,32,0
Nico Hülkenberg,27,HUL,Renault,22,0
Kevin Magnussen,20,MAG,Haas F1 Team,19,0
Carlos Sainz,55,SAI,Renault,19,0
Sergio Pérez,11,PER,Force India,17,0
Pierre Gasly,10,GAS,Toro Rosso,12,0
Charles Leclerc,16,LEC,Sauber,9,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Lance Stroll,18,STR,Williams,4,0
Marcus Ericsson,9,ERI,Sauber,2,0
Esteban Ocon,31,OCO,Force India,1,0
Brendon Hartley,28,HAR,Toro Rosso,1,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Sergey Sirotkin,35,SIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,110,2
Sebastian Vettel,5,VET,Ferrari,96,2
Daniel Ricciardo,3,RIC,Red Bull,72,2
Valtteri Bottas,77,BOT,Mercedes,68,0
Kimi Räikkönen,7,RAI,Ferrari,60,0
Max Verstappen,33,VER,Red Bull,35,0
Fernando Alonso,14,ALO,McLaren,32,0
Nico Hülkenberg,27,HUL,Renault,26,0
Carlos Sainz,55,SAI,Renault,20,0
Kevin Magnussen,20,MAG,Haas F1 Team,19,0
Pierre Gasly,10,GAS,Toro Rosso,18,0
Sergio Pérez,11,PER,Force India,17,0
Esteban Ocon,31,OCO,Force India,9,0
Charles Leclerc,16,LEC,Sauber,9,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Lance Stroll,18,STR,Williams,4,0
Marcus Ericsson,9,ERI,Sauber,2,0
Brendon Hartley,28,HAR,Toro Rosso,1,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Sergey Sirotkin,35,SIR,Williams,0,0
Sebastian Vettel,5,VET,Ferrari,121,3
Lewis Hamilton,44,HAM,Mercedes,120,2
Valtteri Bottas,77,BOT,Mercedes,86,0
Daniel Ricciardo,3,RIC,Red Bull,84,2
Kimi Räikkönen,7,RAI,Ferrari,68,0
Max Verstappen,33,VER,Red Bull,50,0
Fernando Alonso,14,ALO,McLaren,32,0
Nico Hülkenberg,27,HUL,Renault,32,0
Carlos Sainz,55,SAI,Renault,24,0
Kevin Magnussen,20,MAG,Haas F1 Team,19,0
Pierre Gasly,10,GAS,Toro Rosso,18,0
Sergio Pérez,11,PER,Force India,17,0
Esteban Ocon,31,OCO,Force India,11,0
Charles Leclerc,16,LEC,Sauber,10,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Lance Stroll,18,STR,Williams,4,0
Marcus Ericsson,9,ERI,Sauber,2,0
Brendon Hartley,28,HAR,Toro Rosso,1,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Sergey Sirotkin,35,SIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,145,3
Sebastian Vettel,5,VET,Ferrari,131,3
Daniel Ricciardo,3,RIC,Red Bull,96,2
Valtteri Bottas,77,BOT,Mercedes,92,0
Kimi Räikkönen,7,RAI,Ferrari,83,0
Max Verstappen,33,VER,Red Bull,68,0
Nico Hülkenberg,27,HUL,Renault,34,0
Fernando Alonso,14,ALO,McLaren,32,0
Carlos Sainz,55,SAI,Renault,28,0
Kevin Magnussen,20,MAG,Haas F1 Team,27,0
Pierre Gasly,10,GAS,Toro Rosso,18,0
Sergio Pérez,11,PER,Force India,17,0
Esteban Ocon,31,OCO,Force India,11,0
Charles Leclerc,16,LEC,Sauber,11,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Lance Stroll,18,STR,Williams,4,0
Marcus Ericsson,9,ERI,Sauber,2,0
Brendon Hartley,28,HAR,Toro Rosso,1,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Sergey Sirotkin,35,SIR,Williams,0,0
Sebastian Vettel,5,VET,Ferrari,146,3
Lewis Hamilton,44,HAM,Mercedes,145,3
Kimi Räikkönen,7,RAI,Ferrari,101,0
Daniel Ricciardo,3,RIC,Red Bull,96,2
Max Verstappen,33,VER,Red Bull,93,1
Valtteri Bottas,77,BOT,Mercedes,92,0
Kevin Magnussen,20,MAG,Haas F1 Team,37,0
Fernando Alonso,14,ALO,McLaren,36,0
Nico Hülkenberg,27,HUL,Renault,34,0
Carlos Sainz,55,SAI,Renault,28,0
Sergio Pérez,11,PER,Force India,23,0
Esteban Ocon,31,OCO,Force India,19,0
Pierre Gasly,10,GAS,Toro Rosso,18,0
Charles Leclerc,16,LEC,Sauber,13,0
Romain Grosjean,8,GRO,Haas F1 Team,12,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Lance Stroll,18,STR,Williams,4,0
Marcus Ericsson,9,ERI,Sauber,3,0
Brendon Hartley,28,HAR,Toro Rosso,1,0
Sergey Sirotkin,35,SIR,Williams,0,0
Sebastian Vettel,5,VET,Ferrari,171,4
Lewis Hamilton,44,HAM,Mercedes,163,3
Kimi Räikkönen,7,RAI,Ferrari,116,0
Daniel Ricciardo,3,RIC,Red Bull,106,2
Valtteri Bottas,77,BOT,Mercedes,104,0
Max Verstappen,33,VER,Red Bull,93,1
Nico Hülkenberg,27,HUL,Renault,42,0
Fernando Alonso,14,ALO,McLaren,40,0
Kevin Magnussen,20,MAG,Haas F1 Team,39,0
Carlos Sainz,55,SAI,Renault,28,0
Esteban Ocon,31,OCO,Force India,25,0
Sergio Pérez,11,PER,Force India,24,0
Pierre Gasly,10,GAS,Toro Rosso,18,0
Charles Leclerc,16,LEC,Sauber,13,0
Romain Grosjean,8,GRO,Haas F1 Team,12,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Lance Stroll,18,STR,Williams,4,0
Marcus Ericsson,9,ERI,Sauber,3,0
Brendon Hartley,28,HAR,Toro Rosso,1,0
Sergey Sirotkin,35,SIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,188,4
Sebastian Vettel,5,VET,Ferrari,171,4
Kimi Räikkönen,7,RAI,Ferrari,131,0
Valtteri Bottas,77,BOT,Mercedes,122,0
Daniel Ricciardo,3,RIC,Red Bull,106,2
Max Verstappen,33,VER,Red Bull,105,1
Nico Hülkenberg,27,HUL,Renault,52,0
Fernando Alonso,14,ALO,McLaren,40,0
Kevin Magnussen,20,MAG,Haas F1 Team,39,0
Sergio Pérez,11,PER,Force India,30,0
Esteban Ocon,31,OCO,Force India,29,0
Carlos Sainz,55,SAI,Renault,28,0
